BODY_STYLE,ENGINE_LOCATION,ENGINE_SIZE,ENGINE_TYPE,FUEL_TYPE,ID,MAKE,NUM_OF_DOORS
sedan,front,98,dohc,gas,2824,toyota,two
hatchback,front,98,dohc,gas,2825,toyota,two
hardtop,front,146,ohc,gas,2826,toyota,two
hardtop,front,146,ohc,gas,2827,toyota,two
hatchback,front,146,ohc,gas,2828,toyota,two
hardtop,front,146,ohc,gas,2829,toyota,two
hatchback,front,146,ohc,gas,2830,toyota,two
convertible,front,146,ohc,gas,2831,toyota,two
sedan,front,122,ohc,gas,2832,toyota,four
sedan,front,110,ohc,diesel,2833,toyota,four
hatchback,front,122,ohc,gas,2834,toyota,four
sedan,front,122,ohc,gas,2835,toyota,four
hatchback,front,122,ohc,gas,2836,toyota,four
hatchback,front,171,dohc,gas,2837,toyota,two
hatchback,front,171,dohc,gas,2838,toyota,two
sedan,front,171,dohc,gas,2839,toyota,four
wagon,front,161,dohc,gas,2840,toyota,four
sedan,front,97,ohc,diesel,2841,volkswagen,two
sedan,front,109,ohc,gas,2842,volkswagen,two
sedan,front,97,ohc,diesel,2843,volkswagen,four
sedan,front,109,ohc,gas,2844,volkswagen,four
sedan,front,109,ohc,gas,2845,volkswagen,four
sedan,front,97,ohc,diesel,2846,volkswagen,four
sedan,front,109,ohc,gas,2642,volkswagen,four
convertible,front,109,ohc,gas,2643,volkswagen,two
hatchback,front,109,ohc,gas,2644,volkswagen,two
sedan,front,136,ohc,gas,2645,volkswagen,four
sedan,front,97,ohc,diesel,2646,volkswagen,four
wagon,front,109,ohc,gas,2647,volkswagen,four
sedan,front,141,ohc,gas,2648,volvo,four
wagon,front,141,ohc,gas,2649,volvo,four
sedan,front,141,ohc,gas,2650,volvo,four
wagon,front,141,ohc,gas,2651,volvo,four
sedan,front,130,ohc,gas,2652,volvo,four
wagon,front,130,ohc,gas,2653,volvo,four
sedan,front,141,ohc,gas,2654,volvo,four
sedan,front,141,ohc,gas,2655,volvo,four
sedan,front,173,ohcv,gas,2656,volvo,four
sedan,front,145,ohc,diesel,2657,volvo,four
sedan,front,141,ohc,gas,2658,volvo,four
convertible,front,130,dohc,gas,2659,alfa-romero,two
convertible,front,130,dohc,gas,2660,alfa-romero,two
hatchback,front,152,ohcv,gas,2661,alfa-romero,two
sedan,front,109,ohc,gas,2662,audi,four
sedan,front,136,ohc,gas,2663,audi,four
sedan,front,136,ohc,gas,2664,audi,two
sedan,front,136,ohc,gas,2665,audi,four
wagon,front,136,ohc,gas,2666,audi,four
sedan,front,131,ohc,gas,2667,audi,four
hatchback,front,131,ohc,gas,2668,audi,two
sedan,front,108,ohc,gas,2669,bmw,two
sedan,front,108,ohc,gas,2670,bmw,four
sedan,front,164,ohc,gas,2671,bmw,two
sedan,front,164,ohc,gas,2672,bmw,four
sedan,front,164,ohc,gas,2673,bmw,four
sedan,front,209,ohc,gas,2674,bmw,four
sedan,front,209,ohc,gas,2675,bmw,two
sedan,front,209,ohc,gas,2676,bmw,four
hatchback,front,61,l,gas,2677,chevrolet,two
hatchback,front,90,ohc,gas,2678,chevrolet,two
sedan,front,90,ohc,gas,2679,chevrolet,four
hatchback,front,90,ohc,gas,2680,dodge,two
hatchback,front,90,ohc,gas,2681,dodge,two
hatchback,front,98,ohc,gas,2682,dodge,two
hatchback,front,90,ohc,gas,2683,dodge,four
sedan,front,90,ohc,gas,2684,dodge,four
sedan,front,90,ohc,gas,2685,dodge,four
sedan,front,98,ohc,gas,2686,dodge,
wagon,front,122,ohc,gas,2687,dodge,four
hatchback,front,156,ohc,gas,2688,dodge,two
hatchback,front,92,ohc,gas,2689,honda,two
hatchback,front,92,ohc,gas,2690,honda,two
hatchback,front,79,ohc,gas,2691,honda,two
hatchback,front,92,ohc,gas,2692,honda,two
hatchback,front,92,ohc,gas,2693,honda,two
sedan,front,92,ohc,gas,2694,honda,four
wagon,front,92,ohc,gas,2695,honda,four
hatchback,front,110,ohc,gas,2696,honda,two
hatchback,front,110,ohc,gas,2697,honda,two
sedan,front,110,ohc,gas,2698,honda,four
sedan,front,110,ohc,gas,2699,honda,four
sedan,front,110,ohc,gas,2700,honda,four
sedan,front,110,ohc,gas,2701,honda,two
sedan,front,111,ohc,gas,2702,isuzu,four
sedan,front,90,ohc,gas,2703,isuzu,two
sedan,front,90,ohc,gas,2704,isuzu,four
hatchback,front,119,ohc,gas,2705,isuzu,two
sedan,front,258,dohc,gas,2706,jaguar,four
sedan,front,258,dohc,gas,2707,jaguar,four
sedan,front,326,ohcv,gas,2708,jaguar,two
hatchback,front,91,ohc,gas,2709,mazda,two
hatchback,front,91,ohc,gas,2710,mazda,two
hatchback,front,91,ohc,gas,2711,mazda,two
sedan,front,91,ohc,gas,2712,mazda,four
sedan,front,91,ohc,gas,2713,mazda,four
hatchback,front,70,rotor,gas,2714,mazda,two
hatchback,front,70,rotor,gas,2715,mazda,two
hatchback,front,70,rotor,gas,2716,mazda,two
hatchback,front,80,rotor,gas,2717,mazda,two
hatchback,front,122,ohc,gas,2718,mazda,two
sedan,front,122,ohc,gas,2719,mazda,four
hatchback,front,122,ohc,gas,2720,mazda,two
sedan,front,122,ohc,gas,2721,mazda,four
sedan,front,122,ohc,diesel,2722,mazda,
wagon,front,152,l,diesel,2723,peugot,four
hatchback,front,122,ohc,gas,2724,mazda,four
sedan,front,140,ohc,gas,2725,mazda,four
sedan,front,134,ohc,diesel,2726,mazda,four
sedan,front,183,ohc,diesel,2727,mercedes-benz,four
wagon,front,183,ohc,diesel,2728,mercedes-benz,four
hardtop,front,183,ohc,diesel,2729,mercedes-benz,two
sedan,front,183,ohc,diesel,2730,mercedes-benz,four
sedan,front,234,ohcv,gas,2731,mercedes-benz,four
convertible,front,234,ohcv,gas,2732,mercedes-benz,two
sedan,front,308,ohcv,gas,2733,mercedes-benz,four
hardtop,front,304,ohcv,gas,2734,mercedes-benz,two
hatchback,front,140,ohc,gas,2735,mercury,two
hatchback,front,92,ohc,gas,2736,mitsubishi,two
hatchback,front,92,ohc,gas,2737,mitsubishi,two
hatchback,front,92,ohc,gas,2738,mitsubishi,two
hatchback,front,98,ohc,gas,2739,mitsubishi,two
hatchback,front,110,ohc,gas,2740,mitsubishi,two
hatchback,front,122,ohc,gas,2741,mitsubishi,two
hatchback,front,156,ohc,gas,2742,mitsubishi,two
hatchback,front,156,ohc,gas,2743,mitsubishi,two
hatchback,front,156,ohc,gas,2744,mitsubishi,two
sedan,front,122,ohc,gas,2745,mitsubishi,four
sedan,front,122,ohc,gas,2746,mitsubishi,four
sedan,front,110,ohc,gas,2747,mitsubishi,four
sedan,front,110,ohc,gas,2748,mitsubishi,four
sedan,front,97,ohc,gas,2749,nissan,two
sedan,front,103,ohc,diesel,2750,nissan,two
sedan,front,97,ohc,gas,2751,nissan,two
sedan,front,97,ohc,gas,2752,nissan,four
wagon,front,97,ohc,gas,2753,nissan,four
sedan,front,97,ohc,gas,2754,nissan,two
hatchback,front,97,ohc,gas,2755,nissan,two
sedan,front,97,ohc,gas,2756,nissan,four
wagon,front,97,ohc,gas,2757,nissan,four
hardtop,front,97,ohc,gas,2758,nissan,two
hatchback,front,120,ohc,gas,2759,nissan,four
sedan,front,120,ohc,gas,2760,nissan,four
sedan,front,181,ohcv,gas,2761,nissan,four
wagon,front,181,ohcv,gas,2762,nissan,four
sedan,front,181,ohcv,gas,2763,nissan,four
hatchback,front,181,ohcv,gas,2764,nissan,two
hatchback,front,181,ohcv,gas,2765,nissan,two
hatchback,front,181,ohcv,gas,2766,nissan,two
sedan,front,120,l,gas,2767,peugot,four
sedan,front,152,l,diesel,2768,peugot,four
wagon,front,120,l,gas,2769,peugot,four
wagon,front,152,l,diesel,2770,peugot,four
sedan,front,120,l,gas,2771,peugot,four
sedan,front,152,l,diesel,2772,peugot,four
wagon,front,120,l,gas,2773,peugot,four
sedan,front,120,l,gas,2774,peugot,four
sedan,front,152,l,diesel,2775,peugot,four
sedan,front,134,l,gas,2776,peugot,four
hatchback,front,90,ohc,gas,2777,plymouth,two
hatchback,front,98,ohc,gas,2778,plymouth,two
hatchback,front,90,ohc,gas,2779,plymouth,four
sedan,front,90,ohc,gas,2780,plymouth,four
sedan,front,98,ohc,gas,2781,plymouth,four
wagon,front,122,ohc,gas,2782,plymouth,four
hatchback,front,156,ohc,gas,2783,plymouth,two
hatchback,front,151,ohc,gas,2784,porsche,two
hardtop,rear,194,ohcf,gas,2785,porsche,two
hardtop,rear,194,ohcf,gas,2786,porsche,two
convertible,rear,194,ohcf,gas,2787,porsche,two
hatchback,front,203,dohcv,gas,2788,porsche,two
wagon,front,132,ohc,gas,2789,renault,four
hatchback,front,132,ohc,gas,2790,renault,two
hatchback,front,121,ohc,gas,2791,saab,two
sedan,front,121,ohc,gas,2792,saab,four
hatchback,front,121,ohc,gas,2793,saab,two
sedan,front,121,ohc,gas,2794,saab,four
hatchback,front,121,dohc,gas,2795,saab,two
sedan,front,121,dohc,gas,2796,saab,four
hatchback,front,97,ohcf,gas,2797,subaru,two
hatchback,front,108,ohcf,gas,2798,subaru,two
hatchback,front,108,ohcf,gas,2799,subaru,two
sedan,front,108,ohcf,gas,2800,subaru,four
sedan,front,108,ohcf,gas,2801,subaru,four
sedan,front,108,ohcf,gas,2802,subaru,four
sedan,front,108,ohcf,gas,2803,subaru,four
sedan,front,108,ohcf,gas,2804,subaru,four
wagon,front,108,ohcf,gas,2805,subaru,four
wagon,front,108,ohcf,gas,2806,subaru,four
wagon,front,108,ohcf,gas,2807,subaru,four
wagon,front,108,ohcf,gas,2808,subaru,four
hatchback,front,92,ohc,gas,2809,toyota,two
hatchback,front,92,ohc,gas,2810,toyota,two
hatchback,front,92,ohc,gas,2811,toyota,four
wagon,front,92,ohc,gas,2812,toyota,four
wagon,front,92,ohc,gas,2813,toyota,four
wagon,front,92,ohc,gas,2814,toyota,four
sedan,front,98,ohc,gas,2815,toyota,four
hatchback,front,98,ohc,gas,2816,toyota,four
sedan,front,110,ohc,diesel,2817,toyota,four
hatchback,front,110,ohc,diesel,2818,toyota,four
sedan,front,98,ohc,gas,2819,toyota,four
hatchback,front,98,ohc,gas,2820,toyota,four
sedan,front,98,ohc,gas,2821,toyota,four
sedan,front,98,ohc,gas,2822,toyota,two
hatchback,front,98,ohc,gas,2823,toyota,two
